title,isbn,booktype,author,year,file,genres
"The Hunger Games (The Hunger Games, #1)",9780439023481,books.book,https://www.goodreads.com/author/show/153394.Suzanne_Collins,2008,files/1_2767052-the-hunger-games.html,/genres/young-adult|/genres/fiction|/genres/science-fiction|/genres/dystopia|/genres/fantasy|/genres/science-fiction|/genres/romance|/genres/adventure|/genres/young-adult|/genres/teen|/genres/apocalyptic|/genres/post-apocalyptic|/genres/action
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",null,books.book,https://www.goodreads.com/author/show/1077326.J_K_Rowling,2003,files/1_2.Harry_Potter_and_the_Order_of_the_Phoenix.html,/genres/fantasy|/genres/young-adult|/genres/fiction|/genres/fantasy|/genres/magic|/genres/childrens|/genres/adventure|/genres/audiobook|/genres/childrens|/genres/middle-grade|/genres/classics|/genres/science-fiction-fantasy
To Kill a Mockingbird,null,books.book,https://www.goodreads.com/author/show/1825.Harper_Lee,1960,files/1_2657.To_Kill_a_Mockingbird.html,/genres/classics|/genres/fiction|/genres/historical|/genres/historical-fiction|/genres/academic|/genres/school|/genres/literature|/genres/young-adult|/genres/historical|/genres/novels|/genres/academic|/genres/read-for-school|/genres/young-adult|/genres/high-school
Pride and Prejudice,null,books.book,https://www.goodreads.com/author/show/1265.Jane_Austen,1813,files/1_1885.Pride_and_Prejudice.html,/genres/classics|/genres/fiction|/genres/romance|/genres/historical|/genres/historical-fiction|/genres/literature|/genres/historical|/genres/novels|/genres/romance|/genres/historical-romance|/genres/adult|/genres/audiobook
"Twilight (Twilight, #1)",9780316015844,books.book,https://www.goodreads.com/author/show/941441.Stephenie_Meyer,2005,files/1_41865.Twilight.html,/genres/young-adult|/genres/fantasy|/genres/romance|/genres/fiction|/genres/paranormal|/genres/vampires|/genres/fantasy|/genres/paranormal|/genres/romance|/genres/paranormal-romance|/genres/fantasy|/genres/supernatural|/genres/young-adult|/genres/teen|/genres/fantasy|/genres/urban-fantasy
A Prayer for Owen Meany,9780552135399,books.book,https://www.goodreads.com/author/show/3075.John_Irving,1989,files/2_4473.A_Prayer_for_Owen_Meany.html,/genres/fiction|/genres/classics|/genres/contemporary|/genres/literature|/genres/literary-fiction|/genres/novels|/genres/historical|/genres/historical-fiction|/genres/young-adult|/genres/coming-of-age|/genres/adult-fiction|/genres/literature|/genres/american
"Moby-Dick or, the Whale",9780142437247,books.book,https://www.goodreads.com/author/show/1624.Herman_Melville,1851,files/2_153747.Moby_Dick_or_the_Whale.html,/genres/classics|/genres/fiction|/genres/literature|/genres/adventure|/genres/novels|/genres/historical|/genres/historical-fiction|/genres/literature|/genres/american|/genres/literature|/genres/19th-century|/genres/classics|/genres/classic-literature|/genres/audiobook
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",null,books.book,https://www.goodreads.com/author/show/1077326.J_K_Rowling,2000,files/2_6.Harry_Potter_and_the_Goblet_of_Fire.html,/genres/fantasy|/genres/young-adult|/genres/fiction|/genres/fantasy|/genres/magic|/genres/childrens|/genres/adventure|/genres/childrens|/genres/middle-grade|/genres/audiobook|/genres/classics|/genres/science-fiction-fantasy
The Red Tent,9780312353766,books.book,https://www.goodreads.com/author/show/626222.Anita_Diamant,1997,files/2_4989.The_Red_Tent.html,/genres/historical|/genres/historical-fiction|/genres/fiction|/genres/historical|/genres/religion|/genres/book-club|/genres/feminism|/genres/adult|/genres/adult-fiction|/genres/womens|/genres/novels
The Secret Life of Bees,9780142001745,books.book,https://www.goodreads.com/author/show/4711.Sue_Monk_Kidd,2001,files/2_37435.The_Secret_Life_of_Bees.html,/genres/fiction|/genres/historical|/genres/historical-fiction|/genres/young-adult|/genres/classics|/genres/historical|/genres/adult-fiction|/genres/contemporary|/genres/young-adult|/genres/coming-of-age|/genres/adult|/genres/novels
